Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Bug,FAS-22,10185,[API] Test case kiểm tra field 'token' không phù hợp với API Contact (ContactController),vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,baophg1564,712020:e1c14f9f-9b92-4f1b-a54b-42a4968cc3d3,Medium,Done,Done,31/May/26 9:21 PM,31/May/26 10:21 PM,02/Jun/26 12:00 AM
Bug,FAS-21,10184,API Dashboard Admin không có trường data trong response nên bị lỗi khi chạy test. (dashboard_admin),Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,Medium,Done,Done,31/May/26 5:05 PM,01/Jun/26 1:39 PM,02/Jun/26 12:00 AM
Bug,FAS-20,10183,"API hủy đơn hàng chưa trả về trường status trong dữ liệu phản hồi, nên bị lỗi khi chạy test. (cancel_orders)",Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,Medium,Done,Done,31/May/26 5:02 PM,08/Jun/26 12:56 PM,09/Jun/26 12:00 AM
Bug,FAS-19,10182,"API xem chi tiết đơn hàng thiếu thuộc tính size trong object product, dẫn đến test Postman bị fail. (review_detail_orders_user)",Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,Medium,Done,Done,31/May/26 5:00 PM,02/Jun/26 2:39 PM,02/Jun/26 12:00 AM
Bug,FAS-18,10181,Thiếu tổng số lượng sản phẩm trong phản hồi danh sách đơn hàng (review_oders_user),Quốc Trưởng,712020:6a901181-0b50-43a6-89ec-6c36bffea756,Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,Medium,Done,Done,31/May/26 4:58 PM,01/Jun/26 1:29 PM,02/Jun/26 12:00 AM
Bug,FAS-16,10179,Thiếu danh sách sản phẩm trong phản hồi đặt hàng (orders_user),baophg1564,712020:e1c14f9f-9b92-4f1b-a54b-42a4968cc3d3,Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,Medium,Done,Done,31/May/26 4:55 PM,01/Jun/26 1:29 PM,02/Jun/26 12:00 AM
Bug,FAS-15,10178,[API] POST /logout (logout) - Response không trả về thông tin user sau khi đăng xuất,baophg1564,712020:e1c14f9f-9b92-4f1b-a54b-42a4968cc3d3,Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Medium,Done,Done,31/May/26 1:37 PM,01/Jun/26 1:24 PM,02/Jun/26 12:00 AM
Bug,FAS-14,10177,[API] PUT /profile/password (change_password) - Response không trả về token mới sau khi đổi mật khẩu,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Medium,Done,Done,31/May/26 1:33 PM,02/Jun/26 8:47 PM,02/Jun/26 12:00 AM
Bug,FAS-13,10176,[API] PUT /profile (update_profile) - Response không trả về object user sau khi cập nhật,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Medium,Done,Done,31/May/26 1:16 PM,01/Jun/26 2:19 PM,02/Jun/26 12:00 AM
Bug,FAS-12,10175,[API] GET /profile ( view_profile) - Response trả về field fullname nhưng test kiểm tra field name,Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Medium,Done,Done,31/May/26 1:08 PM,31/May/26 10:23 PM,02/Jun/26 12:00 AM
Bug,FAS-6,10137,Lỗi khi gửi size không hợp lệ khi thêm giỏ hàng.,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,Medium,Done,Done,30/May/26 4:47 PM,01/Jun/26 1:29 PM,02/Jun/26 12:00 AM
Bug,FAS-5,10136,Lỗi trả dư dữ liệu user ,Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Medium,Done,Done,30/May/26 2:39 PM,31/May/26 10:23 PM,02/Jun/26 12:00 AM
Bug,FAS-1,10132,API Đăng ký: Sai cấu trúc JSON trả về (thiếu trường 'name'),Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,Medium,Done,Done,29/May/26 7:53 PM,01/Jun/26 5:07 PM,02/Jun/26 12:00 AM
Task,SAM1-10,10009,Finalize Documentation for the Project,,,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,,In Review,,13/May/26 6:06 PM,13/May/26 6:07 PM,01/Jun/26 12:00 AM
Task,SAM1-9,10008,Optimize Performance of the Application,,,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,,To Do,,13/May/26 6:06 PM,13/May/26 6:07 PM,20/May/26 12:00 AM
Task,SAM1-8,10007,Develop Transaction History Feature,,,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,,To Do,,13/May/26 6:06 PM,13/May/26 6:07 PM,24/May/26 12:00 AM
Task,SAM1-7,10006,Create Wallet Integration,,,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,,In Progress,,13/May/26 6:06 PM,13/May/26 6:07 PM,24/May/26 12:00 AM
Task,SAM1-6,10005,Set Up Notifications for Users,,,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,,To Do,,13/May/26 6:06 PM,13/May/26 6:07 PM,19/May/26 12:00 AM
Epic,SAM1-5,10004,Post-Launch Review and Feedback Collection,,,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,,Done,,13/May/26 6:06 PM,13/May/26 6:06 PM,08/Jun/26 12:00 AM
Epic,SAM1-4,10003,Prepare for Project Launch,,,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,,To Do,,13/May/26 6:06 PM,13/May/26 6:06 PM,28/May/26 12:00 AM
Epic,SAM1-3,10002,Conduct User Testing for the Platform,,,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,,In Progress,,13/May/26 6:06 PM,13/May/26 6:06 PM,22/May/26 12:00 AM
Epic,SAM1-2,10001,Implement Market Analysis Tools,,,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,,In Review,,13/May/26 6:06 PM,13/May/26 6:06 PM,29/May/26 12:00 AM
Epic,SAM1-1,10000,Implement User Authentication,,,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,,To Do,,13/May/26 6:06 PM,13/May/26 6:06 PM,31/May/26 12:00 AM
